,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
2011-09-30,216.23,218.19,223.0,215.21,10.8115,6550300.0,-95.79165229389444,0.008448521699918748,0.10982780864911472,-0.10137928694919597,6.8306449993016285,9.70771332280396,-111.29050043307416,3.739432927840113,-1.0987264815874749,4.838159409427588,2.2300091526124337,1.92737997489706,-3.732137076261464,-5.0611059088405534,0.004409995990912902,-0.3300000000000125,-0.1523827114887387,67.18939019,4.326983197076373,39.81426987,-0.023571428571429465,-0.6922886356549043,-8.482288635654896,213.4246739326511,227.44785714285715,241.4710403530632,12.330899386225704,0.10002458162663011,227.44785714285715,223.6922886356549,218.14666666666668,222.4532063492064,0.1571743162497869
2011-10-03,211.98,217.01,221.6,211.39,10.599,6624400.0,-98.19073903710517,-0.06847810697584605,0.050392503440794476,-0.11887061041664053,0.0,4.553763332867766,-142.3581811722498,2.768376347368701,-1.65582644964711,4.424202797015811,2.070722784568688,2.0625671195472717,-3.4019381882388355,-10.669896277779568,0.09919852844567087,-7.550000000000011,-3.439165489910268,46.37417574,3.274676121879537,19.90713493,-0.5392857142857151,-0.5306501509009252,-10.740650150900933,211.2263305953523,226.90857142857143,242.59081226179057,13.822519558857435,0.02402939135621562,226.90857142857143,222.13065015090092,214.99,218.86959523809523,0.09405013101148252
2011-10-04,212.5,209.62,215.0,200.43,10.625,8711600.0,-72.29745237548772,-0.11584384559259739,-0.005019612903669472,-0.11082423268892791,0.5245728222133481,2.45173927383834,-172.58396231599554,1.992606238621363,-1.9452772467155586,3.9378834853369216,1.9228140142423533,2.6980980395796084,-1.1136806722688428,-9.81505395416849,0.1368392444625627,-10.069999999999993,-4.5244192838208175,29.5768282,2.4289324715770135,9.95356747,-0.7192857142857138,-5.846563464114155,-20.416563464114148,208.93236252504806,226.1892857142857,243.4462089035233,15.258833445396666,0.10336829560604736,226.1892857142857,220.84656346411415,209.31000000000003,215.36576984126984,0.09196692462903065
2011-10-05,219.498,212.53,220.17,208.481,10.9749,6508200.0,-56.235942162038135,-0.09617847478128654,-0.03540590019620849,-0.060772574585078044,7.833514009585641,2.7860289439330104,-88.60117433565028,1.7650909045537446,-1.7382340646265417,3.5033249691802864,2.154755870367899,2.5053767510382077,2.8554506842236713,1.240732720093069,0.09534159051035651,-7.282000000000011,-3.211041538054507,17.98328427,2.1746158022839097,4.97678374,-0.5201428571428579,-0.49675500223227687,-12.18575500223227,208.079035461105,225.66914285714284,243.25925025318068,15.589288968206917,0.3245848442479407,225.66914285714284,220.66675500223226,216.04966666666664,213.7271333333333,0.09796967839368129
2011-10-06,221.51,220.28,223.62,217.55,11.0755,6849300.0,-51.61808583887999,-0.06816129034461983,-0.046324363579012276,-0.021836926765607556,16.97448677360129,8.444191201800107,-36.6447738847755,1.684313504084173,-1.455209172076891,3.139522676161064,2.2472733081987646,2.3264212688211927,3.3415582656701903,4.226205972974928,0.2700774252315169,-17.79000000000002,-7.434183033848734,10.58907722,2.078920137614915,2.48839187,-1.2707142857142872,2.840812331398695,-3.2291876686012984,208.43567040097994,224.39842857142858,240.36118674187722,14.227156822862963,0.4095260186057366,224.39842857142858,220.7791876686013,220.89333333333335,214.0339904761905,0.12767267429655746
2011-10-07,224.74,222.48,227.9,218.41,11.237,6784300.0,-40.15263417035943,-0.025095831197576197,-0.03924818611853359,0.014152354920957393,34.00453137802999,19.604177387072323,3.085404184264643,1.7942643456423184,-1.0762066644149964,2.8704710100573148,2.3924680718988527,2.1602483210482504,3.592519609961902,8.98302836430448,0.25408484485084665,-16.94999999999999,-7.013115975009304,6.76067984,2.190495174743006,2.2838699,-1.210714285714285,6.59270402054554,-2.8972959794544693,210.39898720891114,223.18771428571426,235.9764413625174,11.460063666794499,0.56068960987921,223.18771428571426,221.30729597945447,223.6833333333333,215.95793174603173,0.1577001513553129
2011-10-10,231.32,226.23,232.8,224.1,11.566,5143100.0,-22.948366176103807,0.05084593681323866,-0.009216811807942843,0.0600627486211815,54.13989838053621,35.039638844055844,82.0205726266133,2.2547012990344797,-0.4926157688182684,2.747317067852748,2.5715774953346493,2.005944869544804,4.809441466366965,17.926037979625697,0.029760986892829702,-1.9300000000000068,-0.8274383708467339,6.35347511,2.683922432979756,6.77944266,-0.13785714285714334,10.157676817806134,1.4576768178061172,210.662665558523,223.04985714285712,235.43704872719124,11.107105597830957,0.8338183155091421,223.04985714285712,222.64232318219388,229.40666666666664,219.82221428571427,0.14571935063374492
2011-10-11,235.48,230.6,236.75,229.0,11.774,5003700.0,-3.4966960352423193,0.12864239905761943,0.03673625848057791,0.09190614057704152,78.3322589498539,55.49222956947338,140.2555331636264,2.8484376068278436,0.08089643118007661,2.767541175647767,2.670036245667888,1.8626630931487467,4.598631366934494,23.072347651719372,0.05337867810143404,3.609999999999985,1.5569068874800471,12.47188252,3.3251575546100582,16.33873043,0.2578571428571418,12.395986575431976,4.6459865754319765,210.075378665755,223.3077142857143,236.54004990567358,11.85121227207492,0.9599447166351099,223.3077142857143,224.35401342456802,233.74333333333334,225.19286984126984,0.14119639328920724
2011-10-12,236.81,236.64,241.84,234.33,11.8405,6510800.0,-12.146824438541415,0.18955127540853256,0.0876745974565628,0.10187667795196977,94.11097485654518,75.52771072897843,151.72495554238293,3.375574766347711,0.4864268725599552,2.8891478937877557,2.8428907995487536,1.7296157293524075,3.672962652397717,24.698045237065262,0.22513262599469508,13.580000000000013,6.083411727814369,24.02891533,3.8976009970785412,29.1879978,0.9700000000000009,15.825188365374373,8.315188365374382,209.3305258175741,224.27771428571427,239.22490275385442,13.329178528276307,0.9192188297149738,224.27771428571427,226.01481163462563,237.66,230.8623111111111,0.10955246897468061
2011-10-13,236.15,237.0,239.68,235.23,11.8075,4833500.0,-13.74064235691862,0.22643174676229297,0.13392698055847285,0.09250476620382012,98.6875414780045,90.37692509480121,118.0718836230018,3.7261359460478616,0.6695904418080847,3.056545504239777,2.6398271710095567,1.6060717486843783,2.1513686821330986,23.30547654966734,0.2069306930693068,12.539999999999992,5.607978176289071,37.1817121,4.281180869074262,40.33838679,0.8957142857142851,12.313829916657767,7.86382991665775,209.03795195773404,225.17342857142856,241.30890518512308,14.331599173191162,0.8401378122061606,225.17342857142856,227.36617008334224,237.02,235.44976031746035,0.058744365716609175
