,date,4. close,1. open,2. high,3. low,6. volumn,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO,SELL,NEU,BUY
2716,2010-08-19,24.44,24.62,24.74,24.21,54064600.0,24.84499999999999,24.84174164946197,25.39500000000004,25.069078296212364,25.321333333333392,25.196184960532367,25.153150000000036,25.5345174409858,27.00216500000012,26.37604022663918,28.237550000000066,26.750181579041833,24.566740740584752,39.71937342493808,-0.23647267390525784,-0.1180401054501172,-0.11843256845514064,20.84736610411564,16.865218172134945,-89.40092165898614,-105.87812773661582,-0.9299999999999997,-0.1965845216978721,-0.7265845216978697,24.24815341029336,24.573999999999963,24.899846589706566,2.6519621527354467,0.2943817670140165,51.03035502363904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,6,2
2717,2010-08-20,24.23,24.31,24.4,24.2,49560100.0,24.712999999999987,24.73051589501434,25.316000000000038,24.98916607752547,25.32000000000006,25.133850446949634,25.137750000000036,25.483359894280472,26.94676500000012,26.333544380567115,28.221050000000062,26.725105145419526,24.494444444288387,37.463772132881616,-0.27305908715960214,-0.1237012149635692,-0.14935787219603294,13.412062006163238,18.05080029757687,-98.60465116279065,-110.80485241446618,-1.3200000000000003,-0.43564387574103236,-0.6356438757410316,24.12527117290597,24.539999999999967,24.954728827093966,3.3800230407008915,0.12626181284270258,46.91880150589632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,6,2
2718,2010-08-23,24.28,24.44,24.6403,24.24,51643000.0,24.579999999999988,24.64860391410264,25.22500000000004,24.921626451094475,25.301666666666726,25.07876332133998,25.110150000000036,25.43616931019104,26.89669000000012,26.29288013540737,28.20215000000006,26.700775740987492,24.344888888732765,38.36130176734868,-0.2946232674909588,-0.1162123162359407,-0.1784109512550181,5.471513029242835,13.243647046507279,-96.07843137254893,-88.59577103678726,-1.3299999999999983,-0.11596617920659824,-0.5162661792065997,24.030107308467734,24.495999999999967,24.9618926915322,3.803826678088122,0.26818696244237855,45.310344034620584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,6,2
2719,2010-08-24,24.04,24.09,24.35,24.0,66522500.0,24.476999999999986,24.53794865699307,25.11900000000004,24.837662027180716,25.26533333333339,25.011746332866434,25.081050000000037,25.38141757253649,26.845490000000122,26.24826864757752,28.18000000000006,26.674300360480153,24.14888888873269,35.71185359301479,-0.3273060496025231,-0.11911607867800397,-0.2081899709245191,2.1022886237465186,6.995287886384239,-97.68786127167635,-105.8874129639441,-1.0300000000000011,-0.3039424393199397,-0.6539424393199411,23.837648972516497,24.361999999999966,24.886351027483435,4.304663225379442,0.19295378179637618,43.09889675189864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,6,2
2720,2010-08-25,24.1,24.0,24.22,23.87,47404800.0,24.400999999999986,24.458321628448875,25.02650000000004,24.767408500782555,25.220666666666723,24.952923988810536,25.031400000000033,25.331165903025255,26.793790000000122,26.205728674358166,28.15790000000006,26.64868543152015,24.023481481325206,36.88544337652068,-0.3443959096659732,-0.1089647509931633,-0.23543115867280992,4.7406394340452245,4.104813695678234,-87.6344086021505,-103.11464892152034,-0.759999999999998,-0.35480780513137944,-0.7048078051313773,23.936745666659746,24.217999999999968,24.49925433334019,2.3226883585781,0.29022545430930863,44.44763957700054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,15,5,2
2721,2010-08-26,23.82,24.09,24.19,23.79,49105300.0,24.333999999999982,24.34226315054908,24.91600000000004,24.677179119755646,25.164333333333392,24.879832118564696,24.981400000000036,25.27190449506348,26.738790000000122,26.158486522390678,28.13205000000006,26.62053930782343,23.889074073917726,33.785804200579875,-0.37619684379356144,-0.1126125480966012,-0.26358429569696024,2.643531258351477,3.1621531053811154,-98.45360824742261,-108.97206330447386,-0.6699999999999982,-0.2769781186840383,-0.6769781186840405,23.770123480283775,24.093999999999966,24.417876519716156,2.6884412693300477,0.0769992831834973,39.08061355503211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,5,3
2722,2010-08-27,23.93,23.88,24.02,23.51,60939400.0,24.286999999999985,24.26730621408561,24.82200000000004,24.606019203588442,25.132333333333392,24.818552627044394,24.93260000000004,25.219280789374718,26.68459000000012,26.114358076402745,28.10665000000006,26.593767772422204,23.814962962806543,36.05909123342114,-0.3880500332804928,-0.09957259006682606,-0.28847744321366675,9.926881069933598,5.770350587443475,-77.04918032786894,-113.48037174486497,-0.46999999999999886,-0.3702669588720333,-0.8802669588720313,23.722205195643376,24.033999999999963,24.34579480435655,2.594614332666955,0.3332236481384357,39.82042802372642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,15,6,1
2723,2010-08-30,23.64,23.74,23.82,23.6,45453100.0,24.200999999999983,24.15325053879732,24.68750000000004,24.51401737467526,25.07933333333339,24.74251697368669,24.87660000000004,25.157348209399238,26.621790000000118,26.065360886771007,28.079250000000062,26.5643770483185,23.709444444287954,32.85641298132998,-0.4160484007328691,-0.10205676601536184,-0.31399163471750724,7.28334981158219,6.617920713289131,-91.03448275862075,-123.40838622164726,-0.8599999999999994,-0.46308596474745656,-0.6830859647474554,23.57819517998685,23.905999999999963,24.233804820013077,2.742448088455738,0.09427076150173543,37.99752156777933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,5,3
2724,2010-08-31,23.465,23.6,23.73,23.32,66074600.0,24.07649999999998,24.028114077197806,24.55275000000004,24.41411095803952,25.012166666666722,24.66009652377142,24.826900000000037,25.09098161295221,26.55304000000012,26.013868591983464,28.049775000000064,26.533537475698417,23.56316666651011,31.06344362737404,-0.44720326525273535,-0.10656930442818247,-0.3406339608245529,7.28334981158219,8.16452689769937,-91.1585365853659,-139.89754947261116,-1.245000000000001,-0.4362165412121044,-0.8462165412121045,23.348534182083906,23.79099999999996,24.233465817916017,3.7196067245265514,0.13160996081531176,38.335712229089665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,14,6,2
2725,2010-09-01,23.9,23.67,23.95,23.54,65235900.0,23.984499999999983,24.004820608616388,24.461250000000035,24.365148009654803,24.971500000000056,24.61105803836681,24.78950000000004,25.044276451659965,26.488840000000117,25.97200980798379,28.021125000000062,26.50733312270639,23.560129629473007,39.850097824441846,-0.43181515893350664,-0.07294495848716298,-0.35887020044634366,22.312937841611483,12.293212488258662,-64.63414634146353,-96.98759858102004,-0.9200000000000017,-0.1781856067532317,-0.5881856067532318,23.40100571429926,23.750999999999966,24.100994285700672,2.9471962081656087,0.7128606181408467,47.11768968713508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,15,7,0
